Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte (A);Wahlberechtigte ohne Sperrvermerk (A1);Wahlberechtigte mit Sperrvermerk (A2);Wahlberechtigte nach § 25 Abs 2 BWO (A3);Wählende (B);Wählende mit Wahlschein (B1);Ungültige;Ungültig;Gültige;Gültig;CDU;CDU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;Die PARTEI;Die PARTEI;Tierschutzpartei;Tierschutzpartei;HEIMAT;HEIMAT;PIRATEN;PIRATEN;ÖDP;ÖDP;V-Partei³;V-Partei³;DiB;DiB;BP;BP;Tierschutzallianz;Tierschutzallianz;MLPD;MLPD;Verjüngungsforschung;Verjüngungsforschung;MENSCHLICHE WELT;MENSCHLICHE WELT;DKP;DKP;Die Grauen;Die Grauen;BüSo;BüSo;Die Humanisten;Die Humanisten;Gartenpartei;Gartenpartei;du;du;SGP;SGP;dieBasis;dieBasis;Bündnis C;Bündnis C;BÜRGERBEWEGUNG;BÜRGERBEWEGUNG;III Weg;III Weg;Bündnis21;Bündnis21;LIEBE;LIEBE;LKR;LKR;PdF;PdF;LfK;LfK;SSW;SSW;Team Todenhöfer;Team Todenhöfer;UNABHÄNGIGE;UNABHÄNGIGE;Volt;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;WGr/EB
;;;;;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
18;HH;Hamburg-Mitte;242078;147594;94479;5;179637;90485;1439;1082;178198;178555;19982;19982;51170;51170;9100;9100;18723;18723;15593;15593;49791;49791;0;0;974;974;2494;2494;2486;2486;130;130;905;905;370;370;303;303;0;0;0;0;0;0;70;70;0;0;0;0;112;112;0;0;0;0;275;275;0;0;398;398;0;0;2396;2396;0;0;0;0;0;0;77;77;0;0;50;50;0;0;0;0;0;0;2019;2019;0;0;1137;1137;0;0;0;0;0;0;0;564
19;HH;Hamburg-Altona;187705;101693;86007;5;152720;82689;837;625;151883;152095;22478;22478;38865;38865;5036;5036;16543;16543;13667;13667;46162;46162;0;0;524;524;1593;1593;1405;1405;56;56;571;571;246;246;160;160;0;0;0;0;0;0;84;84;0;0;0;0;92;92;0;0;0;0;129;129;0;0;228;228;0;0;2237;2237;0;0;0;0;0;0;55;55;0;0;24;24;0;0;0;0;0;0;1054;1054;0;0;886;886;0;0;0;0;0;0;0;159
20;HH;Hamburg-Eimsbüttel;193823;102508;91309;6;160970;88153;931;605;160039;160365;23843;23843;44911;44911;5662;5662;18190;18190;10847;10847;47983;47983;0;0;761;761;1358;1358;1682;1682;53;53;500;500;235;235;139;139;0;0;0;0;0;0;47;47;0;0;0;0;100;100;0;0;0;0;149;149;0;0;188;188;0;0;1895;1895;0;0;0;0;0;0;42;42;0;0;24;24;0;0;0;0;0;0;850;850;0;0;906;906;0;0;0;0;0;0;0;0
21;HH;Hamburg-Nord;219909;112541;107359;9;185457;103765;1234;766;184223;184691;34387;34387;51575;51575;6811;6811;26247;26247;8741;8741;46531;46531;0;0;939;939;1443;1443;1893;1893;79;79;606;606;292;292;220;220;0;0;0;0;0;0;48;48;0;0;0;0;72;72;0;0;0;0;182;182;0;0;150;150;0;0;2535;2535;0;0;0;0;0;0;53;53;0;0;64;64;0;0;0;0;0;0;875;875;0;0;948;948;0;0;0;0;0;0;0;0
22;HH;Hamburg-Wandsbek;233483;141446;92031;6;174014;88215;1678;1193;172336;172821;29103;29103;59298;59298;11290;11290;19225;19225;8852;8852;32134;32134;0;0;1084;1084;1615;1615;2561;2561;169;169;1048;1048;427;427;202;202;0;0;0;0;0;0;49;49;0;0;0;0;69;69;0;0;0;0;235;235;0;0;169;169;0;0;2481;2481;0;0;0;0;0;0;83;83;0;0;44;44;0;0;0;0;0;0;1871;1871;0;0;812;812;0;0;0;0;0;0;0;0
23;HH;Hamburg-Bergedorf – Harburg;221794;146103;75689;2;158246;72375;1601;1229;156645;157017;25427;25427;52523;52523;12638;12638;15674;15674;9878;9878;27931;27931;0;0;1319;1319;1644;1644;2298;2298;161;161;747;747;446;446;195;195;0;0;0;0;0;0;50;50;0;0;0;0;87;87;0;0;0;0;233;233;0;0;208;208;0;0;2417;2417;0;0;0;0;0;0;76;76;0;0;42;42;0;0;0;0;0;0;2283;2283;0;0;740;740;0;0;0;0;0;0;0;0
902;HH;Land;1298792;751885;546874;33;1011044;525682;7720;5500;1003324;1005544;155220;155220;298342;298342;50537;50537;114602;114602;67578;67578;250532;250532;0;0;5601;5601;10147;10147;12325;12325;648;648;4377;4377;2016;2016;1219;1219;0;0;0;0;0;0;348;348;0;0;0;0;532;532;0;0;0;0;1203;1203;0;0;1341;1341;0;0;13961;13961;0;0;0;0;0;0;386;386;0;0;248;248;0;0;0;0;0;0;8952;8952;0;0;5429;5429;0;0;0;0;0;0;0;723
24;NI;Aurich – Emden;191846;148864;42953;29;137847;40620;2286;1653;135561;136194;24066;24066;59038;59038;11173;11173;12113;12113;4671;4671;17668;17668;0;0;1769;1769;1130;1130;2220;2220;147;147;430;430;82;82;65;65;0;0;0;0;0;0;18;18;0;0;0;0;34;34;0;0;0;0;86;86;0;0;86;86;0;0;1027;1027;0;0;0;0;0;0;0;0;0;0;24;24;0;0;0;0;0;0;149;149;0;0;198;198;0;0;0;0;0;0;0;112
25;NI;Unterems;238506;185889;52580;37;175826;49977;2079;1550;173747;174276;52067;52067;59229;59229;14248;14248;17671;17671;4650;4650;18576;18576;0;0;856;856;1649;1649;2044;2044;161;161;534;534;58;58;97;97;0;0;0;0;0;0;18;18;0;0;0;0;28;28;0;0;0;0;103;103;0;0;92;92;0;0;1619;1619;0;0;0;0;0;0;0;0;0;0;31;31;0;0;0;0;0;0;211;211;0;0;334;334;0;0;0;0;0;0;0;159
26;NI;Friesland – Wilhelmshaven – Wittmund;189047;145196;43847;4;134164;41299;1188;1234;132976;132930;28535;28535;50448;50448;10951;10951;13874;13874;4122;4122;17020;17020;0;0;1512;1512;1539;1539;2201;2201;125;125;419;419;62;62;92;92;0;0;0;0;0;0;50;50;0;0;0;0;21;21;0;0;0;0;115;115;0;0;91;91;0;0;1155;1155;0;0;0;0;0;0;0;0;0;0;34;34;0;0;0;0;0;0;298;298;0;0;266;266;0;0;0;0;0;0;0;0
