Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;Erststimmen;;;;
;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;Endgültig;;;;
033;Diepholz – Nienburg I;03;Christlich Demokratische Union Deutschlands;194011;;;;162094;;;;1119;;;;160975;;;;44317;;;;56921;;;;13005;;;;5318;;;;27351;;;;;;;;9614;;;;4449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
034;Osterholz – Verden;03;Christlich Demokratische Union Deutschlands;196082;;;;166168;;;;1079;;;;165089;;;;40965;;;;59337;;;;18452;;;;4952;;;;28057;;;;;;;;11072;;;;;;;;;;;;;;;;;;;;;;;;;;;;2254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
035;Rotenburg I – Heidekreis;03;Sozialdemokratische Partei Deutschlands;168109;;;;139371;;;;1113;;;;138258;;;;58183;;;;37774;;;;7411;;;;3260;;;;26671;;;;;;;;;;;;2923;;;;;;;;;;;;;;;;;;;;;;;;2036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
036;Harburg;03;Christlich Demokratische Union Deutschlands;202671;;;;175135;;;;1180;;;;173955;;;;45738;;;;57718;;;;18423;;;;6047;;;;28905;;;;;;;;10310;;;;3142;;;;;;;;;;;;;;;;;;;;;;;;2625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1047;;;;
037;Lüchow-Dannenberg – Lüneburg;03;Sozialdemokratische Partei Deutschlands;182679;;;;155019;;;;943;;;;154076;;;;42910;;;;40563;;;;25297;;;;3894;;;;23895;;;;;;;;10937;;;;3710;;;;;;;;1532;;;;;;;;;;;;;;;;1338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
038;Osnabrück-Land;03;Christlich Demokratische Union Deutschlands;199476;;;;167747;;;;1137;;;;166610;;;;40394;;;;60952;;;;16758;;;;4914;;;;29985;;;;;;;;9516;;;;2850;;;;;;;;;;;;;;;;;;;;;;;;1241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
039;Stadt Osnabrück;03;Christlich Demokratische Union Deutschlands;192267;;;;161535;;;;1016;;;;160519;;;;45259;;;;47727;;;;21954;;;;4178;;;;18266;;;;;;;;18862;;;;1843;;;;;;;;;;;;;;;;;;;;;;;;1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;468;;;;
040;Nienburg II – Schaumburg;03;Sozialdemokratische Partei Deutschlands;191029;;;;157513;;;;1089;;;;156424;;;;49658;;;;44793;;;;11725;;;;4384;;;;31470;;;;;;;;8669;;;;2635;;;;;;;;;;;;1651;;;;;;;;;;;;1015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;424;;;;
041;Stadt Hannover I;03;Sozialdemokratische Partei Deutschlands;175419;;;;143749;;;;1066;;;;142683;;;;48667;;;;32819;;;;22397;;;;3994;;;;18719;;;;;;;;12047;;;;1081;;;;;;;;;;;;;;;;;;;;727;;;;1908;;;;;;;;;;;;;;;;;;;;;;;;;;;;324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
042;Stadt Hannover II;03;Sozialdemokratische Partei Deutschlands;189782;;;;159053;;;;987;;;;158066;;;;57217;;;;28168;;;;30166;;;;3769;;;;16190;;;;;;;;18042;;;;863;;;;;;;;;;;;1382;;;;;;;;491;;;;1529;;;;;;;;;;;;;;;;;;;;;;;;;;;;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
